HtSeqCounts/Sample_70160_htseq.cnt	HtSeqCounts/Sample_70161_htseq.cnt	HtSeqCounts/Sample_70162_htseq.cnt	Sample_70160/Sample_70160_htseq.cnt	Sample_70161/Sample_70161_htseq.cnt	Sample_70162/Sample_70162_htseq.cnt
ENSG00000000003	15	18	11	15	18	11
ENSG00000000005	1	0	0	1	0	0
ENSG00000000419	14	24	15	14	24	15
ENSG00000000457	7	9	4	7	9	4
ENSG00000000460	9	12	10	9	12	10
ENSG00000000938	1	0	0	1	0	0
ENSG00000000971	6	11	1	6	11	1
ENSG00000001036	13	15	9	13	15	9
ENSG00000001084	21	20	13	21	20	13
ENSG00000001167	54	39	41	54	39	41
ENSG00000001460	7	6	0	7	6	0
ENSG00000001461	23	30	8	23	30	8
ENSG00000001497	57	70	55	57	70	55
ENSG00000001561	1	1	2	1	1	2
ENSG00000001617	16	14	7	16	14	7
ENSG00000001626	2	2	0	2	2	0
ENSG00000001629	70	67	26	70	67	26
ENSG00000001630	0	4	1	0	4	1
ENSG00000001631	37	29	33	37	29	33
ENSG00000002016	15	9	6	15	9	6
ENSG00000002079	1	0	0	1	0	0
ENSG00000002330	3	3	5	3	3	5
ENSG00000002549	25	31	19	25	31	19
ENSG00000002586	58	67	50	58	67	50
ENSG00000002587	0	3	0	0	3	0
ENSG00000002745	2	1	3	2	1	3
ENSG00000002746	1	3	4	1	3	4
ENSG00000002822	36	38	34	36	38	34
ENSG00000002834	119	116	91	119	116	91
ENSG00000002919	3	3	7	3	3	7
ENSG00000003056	32	46	22	32	46	22
ENSG00000003096	5	5	5	5	5	5
ENSG00000003137	2	4	0	2	4	0
ENSG00000003147	12	16	12	12	16	12
ENSG00000003249	13	11	9	13	11	9
ENSG00000003393	21	21	18	21	21	18
ENSG00000003400	5	16	8	5	16	8
ENSG00000003402	34	30	23	34	30	23
ENSG00000003436	68	104	84	68	104	84
ENSG00000003509	9	18	7	9	18	7
ENSG00000003756	38	57	59	38	57	59
ENSG00000003987	4	6	3	4	6	3
ENSG00000003989	99	137	97	99	137	97
ENSG00000004059	14	25	15	14	25	15
ENSG00000004139	4	2	6	4	2	6
ENSG00000004142	30	53	31	30	53	31
ENSG00000004399	68	98	75	68	98	75
ENSG00000004455	66	57	50	66	57	50
ENSG00000004468	5	16	7	5	16	7
ENSG00000004478	144	169	124	144	169	124
ENSG00000004487	89	133	89	89	133	89
ENSG00000004534	87	69	69	87	69	69
ENSG00000004660	9	10	11	9	10	11
ENSG00000004700	33	36	31	33	36	31
ENSG00000004766	9	14	14	9	14	14
ENSG00000004776	5	6	7	5	6	7
ENSG00000004777	13	11	8	13	11	8
ENSG00000004779	28	40	39	28	40	39
ENSG00000004799	24	36	10	24	36	10
ENSG00000004838	1	1	0	1	1	0
ENSG00000004846	2	12	2	2	12	2
ENSG00000004864	17	29	25	17	29	25
ENSG00000004866	7	16	11	7	16	11
ENSG00000004897	39	59	47	39	59	47
ENSG00000004939	1	0	1	1	0	1
ENSG00000004948	4	3	8	4	3	8
ENSG00000004961	11	12	8	11	12	8
ENSG00000004975	19	34	10	19	34	10
