HtSeqCounts/Sample_70160_htseq.cnt	HtSeqCounts/Sample_70161_htseq.cnt	HtSeqCounts/Sample_70162_htseq.cnt	Sample_70160/Sample_70160_htseq.cnt	Sample_70161/Sample_70161_htseq.cnt	Sample_70162/Sample_70162_htseq.cnt
ENSG00000000003	5.03379256438026	4.88067509874128	4.79148353311911	5.03379256438026	4.88067509874128	4.79148353311911
ENSG00000000005	2.02623087581202	0.82308363923864	1.11142777654358	2.02623087581202	0.82308363923864	1.11142777654358
ENSG00000000419	4.94061133052098	5.27388838770574	5.20861104102785	4.94061133052098	5.27388838770574	5.20861104102785
ENSG00000000457	4.03271474667373	3.96481310602891	3.51668879409868	4.03271474667373	3.96481310602891	3.51668879409868
ENSG00000000460	4.35507406527526	4.33839488106885	4.66519189658585	4.35507406527526	4.33839488106885	4.66519189658585
ENSG00000000938	2.02623087581202	0.82308363923864	1.11142777654358	2.02623087581202	0.82308363923864	1.11142777654358
ENSG00000000971	3.83976157285921	4.22428875656851	2.1640721541936	3.83976157285921	4.22428875656851	2.1640721541936
ENSG00000001036	4.84099356177038	4.63486543128523	4.52677493765262	4.84099356177038	4.63486543128523	4.52677493765262
ENSG00000001084	5.49351799360551	5.02398808497587	5.01507061582188	5.49351799360551	5.02398808497587	5.01507061582188
ENSG00000001167	6.81591606101081	5.94872911817899	6.60480189380992	6.81591606101081	5.94872911817899	6.60480189380992
ENSG00000001460	4.03271474667373	3.45935091113426	1.11142777654358	4.03271474667373	3.45935091113426	1.11142777654358
ENSG00000001461	5.61911415880609	5.58256170895795	4.37365463746075	5.61911415880609	5.58256170895795	4.37365463746075
ENSG00000001497	6.89255354583228	6.7741922609559	7.02043438343413	6.89255354583228	6.7741922609559	7.02043438343413
ENSG00000001561	2.02623087581202	1.72576309864763	2.76616437384237	2.02623087581202	1.72576309864763	2.76616437384237
ENSG00000001617	5.121318781603	4.54264929592098	4.20233190986426	5.121318781603	4.54264929592098	4.20233190986426
ENSG00000001626	2.61407869508126	2.27676974667787	1.11142777654358	2.61407869508126	2.27676974667787	1.11142777654358
ENSG00000001629	7.18437405996448	6.71204219693846	5.96604889323566	7.18437405996448	6.71204219693846	5.96604889323566
ENSG00000001630	1.01754013478658	2.98598323589532	2.1640721541936	1.01754013478658	2.98598323589532	2.1640721541936
ENSG00000001631	6.28234370970821	5.53548760927933	6.29938709712284	6.28234370970821	5.53548760927933	6.29938709712284
ENSG00000002016	5.03379256438026	3.96481310602891	4.00788776335548	5.03379256438026	3.96481310602891	4.00788776335548
ENSG00000002079	2.02623087581202	0.82308363923864	1.11142777654358	2.02623087581202	0.82308363923864	1.11142777654358
