HtSeqCounts/Sample_70160_htseq.cnt	HtSeqCounts/Sample_70161_htseq.cnt	HtSeqCounts/Sample_70162_htseq.cnt	Sample_70160/Sample_70160_htseq.cnt	Sample_70161/Sample_70161_htseq.cnt	Sample_70162/Sample_70162_htseq.cnt
ENSG00000210082	15.1783315619206	15.1831141566695	15.2254724321054	15.1783315619206	15.1831141566695	15.2254724321054
ENSG00000251562	14.1238214282612	14.0638442364653	14.1125062926116	14.1238214282612	14.0638442364653	14.1125062926116
ENSG00000211459	14.0230195550582	14.0612499621128	14.083286369597	14.0230195550582	14.0612499621128	14.083286369597
ENSG00000198804	13.3979059378282	13.5226719261161	13.4227713089561	13.3979059378282	13.5226719261161	13.4227713089561
ENSG00000198886	13.2299304675239	13.2670918102148	13.1874589877664	13.2299304675239	13.2670918102148	13.1874589877664
ENSG00000198786	13.0028119832766	13.0854730617778	13.0997702173002	13.0028119832766	13.0854730617778	13.0997702173002
ENSG00000274012	12.9644934447487	12.862831666624	13.0603258887656	12.9644934447487	12.862831666624	13.0603258887656
ENSG00000198712	12.1136795635683	12.2223114025018	12.1849190934053	12.1136795635683	12.2223114025018	12.1849190934053
ENSG00000115414	12.1342095365347	12.1381584234661	12.1351643122565	12.1342095365347	12.1381584234661	12.1351643122565
ENSG00000198763	11.8740639628137	12.0255566075382	12.0484890163785	11.8740639628137	12.0255566075382	12.0484890163785
ENSG00000075624	11.9311929436873	12.0137975477804	11.8505183436624	11.9311929436873	12.0137975477804	11.8505183436624
ENSG00000198888	11.723983548798	11.7149162264917	11.6935626323561	11.723983548798	11.7149162264917	11.6935626323561
ENSG00000167658	11.7422184070099	11.7063076428113	11.6587708481499	11.7422184070099	11.7063076428113	11.6587708481499
ENSG00000198695	11.6903896212391	11.6165661181965	11.7285222834296	11.6903896212391	11.6165661181965	11.7285222834296
ENSG00000198727	11.6468055123556	11.6617920990678	11.7116476616219	11.6468055123556	11.6617920990678	11.7116476616219
ENSG00000080824	11.5603787000957	11.4918799445853	11.5789218829092	11.5603787000957	11.4918799445853	11.5789218829092
ENSG00000096384	11.5495718572706	11.5056846429469	11.5778268006515	11.5495718572706	11.5056846429469	11.5778268006515
ENSG00000167244	11.4495421935989	11.3045258437796	11.496712814127	11.4495421935989	11.3045258437796	11.496712814127
ENSG00000198938	11.414235012212	11.40779179258	11.3363068761752	11.414235012212	11.40779179258	11.3363068761752
ENSG00000198899	11.3635311098795	11.4393026385608	11.2969199203306	11.3635311098795	11.4393026385608	11.2969199203306
ENSG00000084674	11.3260265290927	11.3629930171686	11.1863070954197	11.3260265290927	11.3629930171686	11.1863070954197
ENSG00000156508	11.3051509558706	11.5193584994563	11.1171337730797	11.3051509558706	11.5193584994563	11.1171337730797
ENSG00000111640	11.0249566033875	10.9758143350861	11.0365266472384	11.0249566033875	10.9758143350861	11.0365266472384
ENSG00000184009	10.9251157028664	11.0509633014619	10.9977478694049	10.9251157028664	11.0509633014619	10.9977478694049
ENSG00000124942	10.8974884324575	10.9115913277607	10.8603967764451	10.8974884324575	10.9115913277607	10.8603967764451
ENSG00000115053	10.8661579124947	10.8322535987908	10.8889330527748	10.8661579124947	10.8322535987908	10.8889330527748
ENSG00000167978	10.8661579124947	10.7534494710566	10.8477324424886	10.8661579124947	10.7534494710566	10.8477324424886
ENSG00000170421	10.8389813303107	10.8383273457835	10.782687523308	10.8389813303107	10.8383273457835	10.782687523308
ENSG00000074800	10.8308898095856	10.8635614833274	10.7145709769686	10.8308898095856	10.8635614833274	10.7145709769686
ENSG00000174444	10.7559483563373	10.5974625075021	10.865790500226	10.7559483563373	10.5974625075021	10.865790500226
ENSG00000067225	10.8341318657724	10.7340346310387	10.69853932661	10.8341318657724	10.7340346310387	10.69853932661
ENSG00000109971	10.7213491994254	10.7327309712665	10.7264788768981	10.7213491994254	10.7327309712665	10.7264788768981
ENSG00000196924	10.6984064413548	10.7143549507894	10.7264788768981	10.6984064413548	10.7143549507894	10.7264788768981
ENSG00000245532	10.7195972672624	10.6618948715436	10.6155947359642	10.7195972672624	10.6618948715436	10.6155947359642
ENSG00000166598	10.7847189980114	10.6060317252935	10.6535109822973	10.7847189980114	10.6060317252935	10.6535109822973
ENSG00000070756	10.5485736085482	10.6031809710509	10.6091773360334	10.5485736085482	10.6031809710509	10.6091773360334
ENSG00000148773	10.5932674446923	10.441817989866	10.5940914494933	10.5932674446923	10.441817989866	10.5940914494933
ENSG00000108298	10.5662277597141	10.6102973224009	10.4314410548439	10.5662277597141	10.6102973224009	10.4314410548439
ENSG00000248527	10.4314488008852	10.5315176769058	10.6177275413802	10.4314488008852	10.5315176769058	10.6177275413802
ENSG00000137154	10.5544823617539	10.4402214700583	10.5116204723985	10.5544823617539	10.4402214700583	10.5116204723985
ENSG00000100316	10.5186612961784	10.4950744619897	10.3720350801707	10.5186612961784	10.4950744619897	10.3720350801707
ENSG00000149925	10.4777883234193	10.4904536445682	10.5139125358187	10.4777883234193	10.4904536445682	10.5139125358187
ENSG00000142541	10.564276821844	10.4827192402664	10.4411085098018	10.564276821844	10.4827192402664	10.4411085098018
ENSG00000122406	10.4983695514098	10.4718209368353	10.3669723726071	10.4983695514098	10.4718209368353	10.3669723726071
ENSG00000065978	10.5166449169313	10.4289960870903	10.115520937869	10.5166449169313	10.4289960870903	10.115520937869
ENSG00000187514	10.4963245908155	10.4193043192893	10.336217267918	10.4963245908155	10.4193043192893	10.336217267918
ENSG00000100345	10.2898699542443	10.3748671506092	10.4673647546987	10.2898699542443	10.3748671506092	10.4673647546987
ENSG00000122566	10.4077086557769	10.2870020695771	10.2230977564048	10.4077086557769	10.2870020695771	10.2230977564048
ENSG00000115306	10.3016281539623	10.2637221818389	10.1746644493517	10.3016281539623	10.2637221818389	10.1746644493517
ENSG00000253729	10.2442938452012	10.2510295029994	10.356793345536	10.2442938452012	10.2510295029994	10.356793345536
ENSG00000179218	10.1845863695756	10.241894444505	10.4483168242748	10.1845863695756	10.241894444505	10.4483168242748
ENSG00000149273	10.2172342820644	10.1858350070084	10.3205903075462	10.2172342820644	10.1858350070084	10.3205903075462
ENSG00000099194	10.2072672317656	10.2028827399176	9.97950507585493	10.2072672317656	10.2028827399176	9.97950507585493
ENSG00000117523	10.1459740976731	10.2745134430401	10.1542388737398	10.1459740976731	10.2745134430401	10.1542388737398
ENSG00000202538	10.1485806497156	10.0831860511098	10.4744433868292	10.1485806497156	10.0831860511098	10.4744433868292
ENSG00000148303	10.130235108545	10.1666537769882	10.0506948880176	10.130235108545	10.1666537769882	10.0506948880176
ENSG00000089157	10.0792310718736	10.2197313771328	10.1215455956913	10.0792310718736	10.2197313771328	10.1215455956913
ENSG00000135486	10.1328702261802	10.0811386585019	10.1064365140738	10.1328702261802	10.0811386585019	10.1064365140738
ENSG00000086758	10.1116532745728	10.0893108531733	9.995995806535	10.1116532745728	10.0893108531733	9.995995806535
ENSG00000134333	10.0376510141652	10.0729199083179	10.005800518041	10.0376510141652	10.0729199083179	10.005800518041
ENSG00000269028	10.0376510141652	9.80168185027769	10.3047922240626	10.0376510141652	9.80168185027769	10.3047922240626
ENSG00000178209	10.0488567286742	9.97045971115873	10.0316252500687	10.0488567286742	9.97045971115873	10.0316252500687
ENSG00000137818	10.0206775381733	10.0974370167947	9.9992714530493	10.0206775381733	10.0974370167947	9.9992714530493
ENSG00000255823	9.9948369192012	9.99676498969895	10.3516767726613	9.9948369192012	9.99676498969895	10.3516767726613
ENSG00000204628	9.9266170154301	9.9945911100532	9.95609671809777	9.9266170154301	9.9945911100532	9.95609671809777
